Date of publication,Title of vacancy,URL,Company,About vacancy
5 апреля,Python developer,https://saransk.hh.ru/vacancy/36114635?query=python, AppQuantum,"Разработкой собственных мобильных игр и приложений. Паблишингом мобильных игр и приложений. Рекламой и маркетингом мобильных игр и приложений.  Опыт работы Python разработчиком от 2-х лет. Наличие законченных проектов API для мобильных приложений. Желание делать красивые, интересные и..."
5 апреля,Программист C++/Python,https://saransk.hh.ru/vacancy/35909189?query=python,АО Интегрис,"Разработка алгоритмов для интеллектуальных транспортных систем. Анализ точности и потенциала прототипов. Реализация и оптимизация алгоритмов (компьютерное зрение, машинное обучение).  Опыт работы программистом С++ или программистом-исследователем Python. Умение и желание разбираться в чужом коде. Знание базовых библиотек python как..."
5 апреля,Разработчик Python,https://saransk.hh.ru/vacancy/36503032?query=python, ИТЕРАНЕТ,"Разработка серверных компонентов систем. Уверенное знание Python 3.x и стандартных библиотек. Опыт работы с web framework Tornado, CherryPy. Опыт работы с корутинами (Python..."
4 апреля,Python Backend Developer (Munchen),https://saransk.hh.ru/vacancy/36414126?query=python, EdgeCase Technology,"Healthy breakfasts and regular team lunches. Strong experience in developing scalable applications in Python 3, using modern frameworks. Experience in developing REST APIs. Experience with SQL..."
5 апреля,Junior Data scientist,https://saransk.hh.ru/vacancy/35218725?query=python,ООО МФК Займ Онлайн,"Несколько сайтов с посещаемостью около 1 млн. посещений в месяц. Большое количество партнеров (телеком операторы, банки, интернет-магазины, онлайн кассы... Уверенный пользователь Excel, SQL. Владением одним или несколькими программами (R, Knime, Python). Знание основ теории вероятности, математической статистики, методов анализа..."
5 апреля,Python senior developer,https://saransk.hh.ru/vacancy/35846205?query=python, BestDoctor, 
5 апреля,Разработчик Python,https://saransk.hh.ru/vacancy/35868679?query=python, Netris,"Разработка серверной части проектов. Сопровождение, оказание консультаций клиентам и сотрудникам отдела технической поддержки по разрабатываемым веб-проектам. Сопровождение существующих веб... Уверенные знания Python. Знание принципов ООП. Опыт работы в GIT. Опыт работы с Linux. Хорошее знание SQL. Опыт сетевого и..."
6 апреля,Разработчик Python,https://saransk.hh.ru/vacancy/36338977?query=python,ООО Сбербанк-Сервис,"Проектирование и разработка сервисов и приложений на Python со сложной бизнес логикой. Интеграция приложений с системами мониторинга и другими корпоративными... Владение Python ( понимание ООП). Умение создавать и оптимизировать SQL-запросы. Ответственность, умение работать в команде; Будет плюсом: Опыт работы с..."
5 апреля,Python developer,https://saransk.hh.ru/vacancy/36267171?query=python, B2Broker Москва," Имеет опыт коммерческой разработки на Python 3 от 6 лет. Знает и умеет использовать: итераторы, генераторы, потоки. Отлично владеет знаниями..."
5 апреля,Team lead Python developer,https://saransk.hh.ru/vacancy/35846186?query=python, BestDoctor, 
5 апреля,Junior Quantitative Researcher,https://saransk.hh.ru/vacancy/31844648?query=python,ООО КВАНТПОРТРУС,"Working with large and complex datasets to build quantitative models which predict future price movements. Applying modern mathematical and statistical... Strong knowledge of probability, statistics, optimization, numerical methods. Good programming skills in Python (numpy, sklearn, pandas, matplotlib, etc.). "
